[20220114-15:08:30] [INFO ] Socket 12: AF_UNIX connection received
[20220114-15:08:37] [INFO ] sound_process_training: round trip time 103
[20220114-16:08:48] [ERROR] clipboard_event_selection_request: unknown target unknown atom 0x00000214
[20220114-16:08:48] [ERROR] clipboard_event_selection_request: unknown target unknown atom 0x00000214
[20220114-16:10:08] [ERROR] clipboard_event_selection_request: unknown target unknown atom 0x00000214
[20220114-16:10:08] [ERROR] clipboard_event_selection_request: unknown target unknown atom 0x00000214
[20220114-16:49:21] [ERROR] clipboard_event_selection_request: unknown target unknown atom 0x00000214
[20220114-16:49:21] [ERROR] clipboard_event_selection_request: unknown target unknown atom 0x00000214
[20220114-16:52:36] [ERROR] clipboard_event_selection_request: unknown target unknown atom 0x00000214
[20220114-16:52:36] [ERROR] clipboard_event_selection_request: unknown target unknown atom 0x00000214
[20220114-17:08:29] [ERROR] clipboard_event_selection_request: unknown target unknown atom 0x00000214
[20220114-17:08:29] [ERROR] clipboard_event_selection_request: unknown target unknown atom 0x00000214
[20220114-17:08:40] [ERROR] clipboard_event_selection_request: unknown target unknown atom 0x00000214
[20220114-17:08:40] [ERROR] clipboard_event_selection_request: unknown target unknown atom 0x00000214
[20220114-17:17:16] [ERROR] clipboard_event_selection_request: unknown target unknown atom 0x00000214
[20220114-17:17:16] [ERROR] clipboard_event_selection_request: unknown target unknown atom 0x00000214
[20220114-18:23:38] [ERROR] clipboard_event_selection_request: unknown target unknown atom 0x00000214
[20220114-18:23:38] [ERROR] clipboard_event_selection_request: unknown target unknown atom 0x00000214
[20220114-18:26:52] [ERROR] clipboard_event_selection_request: unknown target unknown atom 0x00000214
[20220114-18:26:53] [ERROR] clipboard_event_selection_request: unknown target unknown atom 0x00000214
[20220114-18:27:27] [ERROR] clipboard_event_selection_request: unknown target unknown atom 0x00000214
[20220114-18:27:27] [ERROR] clipboard_event_selection_request: unknown target unknown atom 0x00000214
